Last_Updat,Week_Ending,Age_F_Less,Age_F_01_0,Age_F_10_1,Age_F_20_2,Age_F_30_3,Age_F_40_4,Age_F_50_5,Age_F_60_6,Age_F_70_7,Age_F_80Pl,Age_F_Unk,Age_M_Less,Age_M_01_0,Age_M_10_1,Age_M_20_2,Age_M_30_3,Age_M_40_4,Age_M_50_5,Age_M_60_6,Age_M_70_7,Age_M_80Pl,Age_M_Unk,Age_Ttl_Le,Age_Ttl_01,Age_Ttl_10,Age_Ttl_20,Age_Ttl_30,Age_Ttl_40,Age_Ttl_50,Age_Ttl_60,Age_Ttl_70,Age_Ttl_80,Age_Ttl_Un,Sex_Ttl_F,Sex_Ttl_M,Sex_Ttl_Un,AIAN,Race_Asian,Race_Black,Race_White,Race_Other,Race_Unk,Eth_Non_Hi,Eth_Hispan,Eth_Unk,FID,Record_Status
2020/05/15 00:00:00+00,Week ending 5/16/2020,0,0,0,0,1,1,2,6,8,23,0,0,0,0,0,1,2,4,7,13,9,0,0,0,0,0,2,3,6,13,21,32,0,41,39,0,0,0.03,0.15,0.73,0.04,0.05,0.57,0.38,0.05,1,Past
2020/05/23 00:00:00+00,Week ending 5/23/2020,0,0,0,0,0,1,2,6,10,23,0,0,0,0,0,1,2,4,9,16,9,0,0,0,0,0,1,3,6,15,26,32,0,42,41,0,0,0.03,0.15,0.73,0.04,0,0.58,0.38,0.04,2,Past
2020/05/30 00:00:00+00,Week ending 5/30/2020,0,0,0,0,0,1,2,6,13,25,0,0,0,0,0,1,2,5,10,19,9,0,0,0,0,0,1,3,7,16,32,34,0,47,46,0,0,0.03,0.13,0.74,0.03,0.06,0.6,0.37,0.03,3,Past
2020/06/06 00:00:00+00,Week ending 6/6/2020,0,0,0,0,0,1,2,7,13,25,0,0,0,0,0,1,2,5,10,21,10,0,0,0,0,0,1,3,7,17,34,35,0,48,49,0,0,0.03,0.13,0.74,0.03,0.06,0.6,0.37,0.03,4,Past
2020/06/13 00:00:00+00,Week ending 6/13/2020,0,0,0,0,0,2,3,7,14,25,0,0,0,0,0,2,2,6,10,21,12,0,0,0,0,0,2,4,9,17,35,37,0,51,53,0,0,0.03,0.13,0.75,0.05,0.05,0.58,0.39,0.03,5,Past
2020/06/20 00:00:00+00,Week ending 6/20/2020,0,0,0,0,0,2,3,4,14,25,0,0,0,0,0,2,2,7,11,21,15,0,0,0,0,0,2,4,10,18,35,40,0,51,58,0,0,0.03,0.12,0.74,0.06,0.06,0.57,0.39,0.04,6,Past
2020/06/27 00:00:00+00,Week ending 6/27/2020,0,0,0,0,0,2,4,7,15,28,0,0,0,0,0,2,2,8,13,21,15,0,0,0,0,0,2,4,12,20,36,43,0,56,61,0,0,0.03,0.12,0.74,0.05,0.06,0.56,0.4,0.04,7,Past
2020/07/04 00:00:00+00,Week ending 7/4/2020,0,0,0,0,0,2,5,8,16,35,0,0,0,0,0,2,2,10,16,23,17,0,0,0,0,0,2,4,15,24,39,52,0,66,70,0,0,0.02,0.1,0.74,0.05,0.08,0.52,0.41,0.07,8,Past
2020/07/11 00:00:00+00,Week ending 7/11/2020,0,0,0,1,0,2,5,13,18,37,0,0,0,0,2,4,5,12,21,27,21,0,0,0,0,3,4,7,17,34,45,58,0,76,92,0,0,0.03,0.09,0.71,0.07,0.11,0.48,0.43,0.1,9,Past
2020/07/18 00:00:00+00,Week ending 7/18/2020,0,0,0,1,0,2,6,14,22,46,0,0,0,0,1,4,7,15,23,33,29,0,0,0,0,2,4,9,21,37,55,75,0,91,112,0,0,0,0.08,0.69,0.09,0.11,0.48,0.43,0.09,10,Past
2020/07/25 00:00:00+00,Week ending 7/25/2020,0,0,0,1,0,2,6,17,23,57,0,0,0,0,1,4,8,21,30,35,36,0,0,0,0,2,4,10,27,47,58,93,0,106,135,0,0,0.03,0.07,0.72,0.1,0.08,0.48,0.46,0.07,11,Past
2020/08/01 00:00:00+00,Week ending 8/1/2020,0,0,0,1,0,2,13,19,25,62,0,0,0,0,1,6,9,22,37,38,41,0,0,0,0,2,6,11,35,56,63,103,0,122,154,0,0,0.03,0.08,0.74,0.12,0.03,0.49,0.48,0.02,12,Past
2020/08/08 00:00:00+00,Week ending 8/8/2020,0,0,1,1,0,2,13,23,27,68,0,0,0,0,1,6,9,23,41,38,45,0,0,0,1,2,6,11,36,64,65,113,0,135,163,0,0,0.03,0.08,0.74,0.11,0.03,0.49,0.49,0.02,13,Past
2020/08/15 00:00:00+00,Week ending 8/15/2020,0,0,0,1,0,4,14,26,33,77,0,0,0,0,1,6,9,25,48,44,47,0,0,0,0,2,6,13,39,74,77,124,0,155,180,0,0,0.04,0.09,0.74,0.1,0.03,0.49,0.5,0.02,14,Past
2020/08/22 00:00:00+00,Week ending 8/22/2020,0,0,0,1,0,3,14,28,35,81,0,0,0,0,1,6,11,29,50,49,49,0,0,0,0,2,6,14,43,78,84,130,0,162,195,0,0,0.04,0.09,0.75,0.1,0.03,0.48,0.5,0.02,15,Past
2020/08/29 00:00:00+00,Week ending 8/29/2020,0,0,0,1,1,3,14,28,40,87,0,0,0,0,1,6,11,32,52,53,51,0,0,0,0,2,7,14,46,80,93,138,0,174,206,0,0,0.04,0.1,0.75,0.09,0.03,0.49,0.49,0.02,16,Past
2020/09/05 15:46:06.923+00,Week ending 9/05/2020,0,0,0,1,1,3,14,27,40,90,0,0,0,0,2,6,12,32,58,55,53,0,0,0,0,3,7,15,46,85,95,143,0,176,218,0,0,0.04,0.09,0.75,0.1,0.03,0.49,0.49,0.03,17,Past
2020/09/12 22:00:00+00,Week ending 9/12/2020,0,0,0,1,1,3,14,28,41,92,0,0,0,0,2,6,12,33,60,57,53,0,0,0,0,3,7,15,47,88,98,145,0,180,223,0,0,0.04,0.09,0.74,0.1,0.03,0.49,0.49,0.02,18,Past
2020/09/19 22:02:59+00,Week ending 9/19/2020,0,0,0,1,1,3,14,28,41,96,0,0,0,0,2,6,12,35,60,60,55,0,0,0,0,3,7,15,49,88,101,151,0,184,230,0,0,0.03,0.09,0.75,0.1,0.02,0.49,0.5,0.01,19,Past
2020/09/26 22:41:27+00,Week ending 9/26/2020,0,0,0,1,1,3,15,29,41,96,0,0,0,0,2,6,12,37,61,63,55,0,0,0,0,3,7,15,52,90,104,151,0,186,236,0,0,0.03,0.1,0.75,0.11,0.01,0.49,0.5,0.02,20,Past
2020/10/03 22:08:15+00,Week ending 10/03/2020,0,0,0,1,1,3,15,30,43,96,0,0,0,0,2,6,13,37,61,66,55,0,0,0,0,3,7,16,52,91,109,151,0,189,240,0,0,0.03,0.1,0.74,0.11,0.01,0.5,0.49,0.01,21,Past
2020/10/10 22:00:00+00,Week ending 10/10/2020,0,0,0,1,1,3,15,33,44,99,0,0,0,0,2,6,13,39,62,67,56,0,0,0,0,3,7,16,54,95,111,155,0,196,245,0,2,0.032,0.103,0.747,0.105,0.011,0.51,0.48,0.01,22,Past
2020/10/17 22:00:43+00,Week ending 10/17/2020,0,0,0,1,1,3,15,33,44,101,0,0,0,0,2,6,13,39,62,67,58,0,0,0,0,3,7,16,54,95,111,159,0,198,247,0,0,0.03,0.1,0.75,0.1,0.01,0.51,0.48,0.01,23,Past
2020/10/24 22:00:07+00,Week ending 10/24/2020,0,0,0,1,1,3,17,33,44,101,0,0,0,0,2,6,13,39,62,67,60,0,0,0,0,3,7,16,56,95,111,161,0,200,249,0,0,0.03,0.1,0.75,0.11,0.01,0.51,0.48,0.01,24,Active
