Date,Probable Total,Probable New
1/29/2020,0,0
1/30/2020,0,0
1/31/2020,0,0
2/1/2020,0,0
2/2/2020,0,0
2/3/2020,0,0
2/4/2020,0,0
2/5/2020,0,0
2/6/2020,0,0
2/7/2020,0,0
2/8/2020,0,0
2/9/2020,0,0
2/10/2020,0,0
2/11/2020,0,0
2/12/2020,0,0
2/13/2020,0,0
2/14/2020,0,0
2/15/2020,0,0
2/16/2020,0,0
2/17/2020,0,0
2/18/2020,0,0
2/19/2020,0,0
2/20/2020,0,0
2/21/2020,0,0
2/22/2020,0,0
2/23/2020,0,0
2/24/2020,0,0
2/25/2020,0,0
2/26/2020,0,0
2/27/2020,0,0
2/28/2020,0,0
2/29/2020,0,0
3/1/2020,0,0
3/2/2020,0,0
3/3/2020,0,0
3/4/2020,0,0
3/5/2020,0,0
3/6/2020,0,0
3/7/2020,0,0
3/8/2020,0,0
3/9/2020,0,0
3/10/2020,0,0
3/11/2020,0,0
3/12/2020,0,0
3/13/2020,0,0
3/14/2020,0,0
3/15/2020,0,0
3/16/2020,0,0
3/17/2020,0,0
3/18/2020,0,0
3/19/2020,0,0
3/20/2020,0,0
3/21/2020,0,0
3/22/2020,0,0
3/23/2020,1,1
3/24/2020,2,1
3/25/2020,2,0
3/26/2020,3,1
3/27/2020,3,0
3/28/2020,3,0
3/29/2020,4,1
3/30/2020,4,0
3/31/2020,4,0
4/1/2020,4,0
4/2/2020,6,2
4/3/2020,7,1
4/4/2020,10,3
4/5/2020,11,1
4/6/2020,12,1
4/7/2020,12,0
4/8/2020,20,8
4/9/2020,23,3
4/10/2020,27,4
4/11/2020,30,3
4/12/2020,36,6
4/13/2020,45,9
4/14/2020,53,8
4/15/2020,58,5
4/16/2020,63,5
4/17/2020,70,7
4/18/2020,74,4
4/19/2020,78,4
4/20/2020,87,9
4/21/2020,89,2
4/22/2020,90,1
4/23/2020,94,4
4/24/2020,99,5
4/25/2020,101,2
4/26/2020,105,4
4/27/2020,110,5
4/28/2020,115,5
4/29/2020,121,6
