County,Code,Adult Obesity,Adult Smoking,Air Pollution,Diabetes Prevalence,Food Environment Index,Excessive Drinking,Median Household Income,State,Abbrev,Population,state,pop_density,Percent_Over_65,fips,cases,deaths
Washington,KS,0.31200000643730164,0.13840845227241516,8.899999618530273,0.11500000208616257,7.099999904632568,0.15490204095840454,45077,Kansas,Kans.,5406,KS,6.0574890296,23.9,20201,264,5
Weston,WY,0.3199999928474426,0.17138129472732544,6.699999809265137,0.10199999809265137,8.100000381469727,0.17857012152671814,56582,Wyoming,Wyo.,6927,WY,2.9053317508,20.5,56045,364,0
Autauga,AL,0.36399999260902405,0.19124658405780792,10.800000190734863,0.12399999797344208,7.099999904632568,0.1687801480293274,54487,Alabama,Ala.,55869,AL,93.534505205,15.6,01001,2580,39
Westchester,NY,0.20800000429153442,0.11379754543304443,10.100000381469727,0.0860000029206276,9.199999809265137,0.1923574060201645,89380,New York,N.Y.,967506,NY,2247.2919335,17.1,36119,46063,1498
Washington,NY,0.30799999833106995,0.19022604823112488,8.300000190734863,0.1080000028014183,8.300000190734863,0.1960090696811676,51052,New York,N.Y.,61204,NY,73.627766855,19.5,36115,414,14
Baldwin,AL,0.2930000126361847,0.16795484721660614,9.600000381469727,0.11100000143051147,7.900000095367432,0.16714969277381897,56460,Alabama,Ala.,223234,AL,137.13854588,20.4,01003,8038,84
Washakie,WY,0.2709999978542328,0.15607573091983795,6.400000095367432,0.11500000208616257,8.399999618530273,0.16342994570732117,49533,Wyoming,Wyo.,7805,WY,3.5221743077,21.7,56043,289,7
Warren,NY,0.2590000033378601,0.18180039525032043,8,0.09700000286102295,8.399999618530273,0.2219146490097046,55769,New York,N.Y.,63944,NY,74.102465054,22.2,36113,530,30
Wyoming,NY,0.2720000147819519,0.21926389634609222,9.199999809265137,0.08699999749660492,8.199999809265137,0.19448237121105194,56089,New York,N.Y.,39859,NY,67.62542136,17.9,36121,384,5
Barbour,AL,0.44200000166893005,0.21540877223014832,10.100000381469727,0.18199999630451202,5.5,0.12698715925216675,32884,Alabama,Ala.,24686,AL,28.114059594,19.4,01005,1151,10
Uinta,WY,0.32199999690055847,0.18180586397647858,6.699999809265137,0.10000000149011612,7.599999904632568,0.16058559715747833,64713,Wyoming,Wyo.,20226,WY,9.7510677126,14.1,56041,894,4
Ulster,NY,0.2639999985694885,0.1581238955259323,8.300000190734863,0.0820000022649765,8.100000381469727,0.23442217707633972,61421,New York,N.Y.,177573,NY,158.86254933,19.8,36111,2969,89
Bibb,AL,0.3840000033378601,0.19916404783725739,10.5,0.1459999978542328,7.599999904632568,0.15925151109695435,43079,Alabama,Ala.,22394,AL,35.986168859,16.5,01007,1024,18
Yates,NY,0.2630000114440918,0.16270583868026733,8.600000381469727,0.10499999672174454,8.699999809265137,0.19002053141593933,48820,New York,N.Y.,24913,NY,73.463054706,20.8,36123,220,6
Tompkins,NY,0.24400000274181366,0.1498778611421585,8.699999809265137,0.07500000298023224,7.699999809265137,0.2095261514186859,55778,New York,N.Y.,102180,NY,216.5699149,14.5,36109,848,0
Blount,AL,0.3580000102519989,0.1965215802192688,11.300000190734863,0.14399999380111694,8.5,0.15378722548484802,47213,Alabama,Ala.,57826,AL,89.697955279,18.2,01009,2704,35
Teton,WY,0.13300000131130219,0.1413726657629013,6.300000190734863,0.04500000178813934,8.199999809265137,0.20451146364212036,84118,Wyoming,Wyo.,23464,WY,5.7748028059,15.4,56039,1336,2
Tioga,NY,0.30000001192092896,0.1690240353345871,8.699999809265137,0.1080000028014183,8.699999809265137,0.19442324340343475,55643,New York,N.Y.,48203,NY,93.634851234,20.3,36107,998,46
Alamance,NC,0.32899999618530273,0.1879076510667801,9.300000190734863,0.11599999666213989,7.099999904632568,0.15685230493545532,46060,North Carolina,N.C.,169509,NC,393.06406423,16.9,37001,6429,96
Bullock,AL,0.4020000100135803,0.23478290438652039,9.800000190734863,0.19499999284744263,4.5,0.1289631724357605,34278,Alabama,Ala.,10101,AL,16.277951234,16.4,01011,684,19
Sweetwater,WY,0.3109999895095825,0.17566943168640137,7.099999904632568,0.07900000363588333,7.900000095367432,0.20325110852718353,74546,Wyoming,Wyo.,42343,WY,4.1288079711,12.1,56037,1353,6
Sullivan,NY,0.2980000078678131,0.18199020624160767,7.800000190734863,0.10700000077486038,8.199999809265137,0.18467453122138977,49016,New York,N.Y.,75432,NY,77.982748426,18.9,36105,2044,38
