Year,ID Geography,Geography,Excessive Drinking,Median Household Income
"2018","05000US56045","Weston County, WY",0.17857012152671814,56582
"2018","05000US39103","Medina County, OH",0.19710920751094818,73148
"2018","05000US01001","Autauga County, AL",0.1687801480293274,54487
"2018","05000US39105","Meigs County, OH",0.15972912311553955,39070
"2018","05000US39101","Marion County, OH",0.1727910339832306,44783
"2018","05000US01003","Baldwin County, AL",0.16714969277381897,56460
"2018","05000US56043","Washakie County, WY",0.16342994570732117,49533
"2018","05000US39099","Mahoning County, OH",0.15810862183570862,42839
"2018","05000US39107","Mercer County, OH",0.19886717200279236,57577
"2018","05000US01005","Barbour County, AL",0.12698715925216675,32884
"2018","05000US56041","Uinta County, WY",0.16058559715747833,64713
"2018","05000US39097","Madison County, OH",0.19636839628219604,60039
"2018","05000US01007","Bibb County, AL",0.15925151109695435,43079
"2018","05000US39109","Miami County, OH",0.18151536583900452,59591
"2018","05000US39095","Lucas County, OH",0.1872950941324234,45251
"2018","05000US01009","Blount County, AL",0.15378722548484802,47213
"2018","05000US39093","Lorain County, OH",0.17346207797527313,54951
"2018","05000US01011","Bullock County, AL",0.1289631724357605,34278
"2018","05000US56039","Teton County, WY",0.20451146364212036,84118
"2018","05000US39111","Monroe County, OH",0.1671263575553894,44062
"2018","05000US39091","Logan County, OH",0.17886950075626373,53760
"2018","05000US01013","Butler County, AL",0.13042810559272766,35409
"2018","05000US56037","Sweetwater County, WY",0.20325110852718353,74546
"2018","05000US39113","Montgomery County, OH",0.16396689414978027,47239
"2018","05000US01015","Calhoun County, AL",0.1543167680501938,41778
"2018","05000US39089","Licking County, OH",0.18164558708667755,58902
"2018","05000US01017","Chambers County, AL",0.13528451323509216,39530
"2018","05000US39087","Lawrence County, OH",0.16375458240509033,42132
"2018","05000US39115","Morgan County, OH",0.1604287028312683,40680
"2018","05000US01019","Cherokee County, AL",0.15232731401920319,41456
"2018","05000US56035","Sublette County, WY",0.18950258195400238,72198
"2018","05000US39085","Lake County, OH",0.17886663973331451,61946
"2018","05000US39117","Morrow County, OH",0.1770857721567154,52953
"2018","05000US01021","Chilton County, AL",0.15064312517642975,44188
"2018","05000US39083","Knox County, OH",0.18215766549110413,53375
"2018","05000US01023","Choctaw County, AL",0.130252406001091,32691
"2018","05000US56033","Sheridan County, WY",0.18906089663505554,53027
"2018","05000US39081","Jefferson County, OH",0.18620431423187256,43558
"2018","05000US01025","Clarke County, AL",0.1335369497537613,34061
"2018","05000US39119","Muskingum County, OH",0.1649705469608307,44871
"2018","05000US01027","Clay County, AL",0.14819133281707764,38512
"2018","05000US39079","Jackson County, OH",0.17206695675849915,45168
"2018","05000US01029","Cleburne County, AL",0.15970046818256378,43483
"2018","05000US39077","Huron County, OH",0.18685105443000793,51278
"2018","05000US39121","Noble County, OH",0.16630958020687103,48836
"2018","05000US01031","Coffee County, AL",0.15528419613838196,48632
"2018","05000US56031","Platte County, WY",0.16721953451633453,54588
"2018","05000US39075","Holmes County, OH",0.19705891609191895,58783
"2018","05000US39073","Hocking County, OH",0.16769284009933472,47799
"2018","05000US01033","Colbert County, AL",0.15822772681713104,46572
"2018","05000US39071","Highland County, OH",0.1576596200466156,44729
"2018","05000US01035","Conecuh County, AL",0.11452551186084747,29758
"2018","05000US39069","Henry County, OH",0.1854160726070404,57752
"2018","05000US01037","Coosa County, AL",0.13531704246997833,36441
"2018","05000US56029","Park County, WY",0.19137629866600037,60621
"2018","05000US39123","Ottawa County, OH",0.17637912929058075,56569
"2018","05000US01039","Covington County, AL",0.15401890873908997,35010
"2018","05000US39067","Harrison County, OH",0.18005779385566711,44274
"2018","05000US01041","Crenshaw County, AL",0.14435645937919617,37374
"2018","05000US39125","Paulding County, OH",0.1830473095178604,51020
"2018","05000US39065","Hardin County, OH",0.20182254910469055,46969
"2018","05000US01043","Cullman County, AL",0.15895649790763855,41543
"2018","05000US56027","Niobrara County, WY",0.1598002016544342,45332
"2018","05000US39063","Hancock County, OH",0.19026021659374237,56406
"2018","05000US39061","Hamilton County, OH",0.19400222599506378,53344
"2018","05000US01045","Dale County, AL",0.14394508302211761,40523
"2018","05000US56025","Natrona County, WY",0.1983601599931717,60559
"2018","05000US39127","Perry County, OH",0.17607761919498444,47543
"2018","05000US01047","Dallas County, AL",0.12016476690769196,30488
"2018","05000US39059","Guernsey County, OH",0.17131280899047852,43519
"2018","05000US39129","Pickaway County, OH",0.19766707718372345,60051
