State,County,Percent
Alabama,Autauga County,15.6
Alabama,Baldwin County,20.4
Alabama,Barbour County,19.4
Alabama,Bibb County,16.5
Alabama,Blount County,18.2
Alabama,Bullock County,16.4
Alabama,Butler County,20.3
Alabama,Calhoun County,17.7
Alabama,Chambers County,19.5
Alabama,Cherokee County,23.0
Alabama,Chilton County,16.8
Alabama,Choctaw County,23.0
Alabama,Clarke County,19.9
Alabama,Clay County,20.7
Alabama,Cleburne County,19.5
Alabama,Coffee County,17.0
Alabama,Colbert County,19.9
Alabama,Conecuh County,22.5
Alabama,Coosa County,23.2
Alabama,Covington County,21.1
Alabama,Crenshaw County,19.0
Alabama,Cullman County,18.5
Alabama,Dale County,16.9
Alabama,Dallas County,18.1
Alabama,DeKalb County,17.3
Alabama,Elmore County,15.1
Alabama,Escambia County,17.9
Alabama,Etowah County,19.0
Alabama,Fayette County,21.1
Alabama,Franklin County,16.9
Alabama,Geneva County,20.3
Alabama,Greene County,22.3
Alabama,Hale County,19.2
Alabama,Henry County,22.7
Alabama,Houston County,17.8
Alabama,Jackson County,20.0
Alabama,Jefferson County,15.9
Alabama,Lamar County,21.7
Alabama,Lauderdale County,20.1
Alabama,Lawrence County,18.7
Alabama,Lee County,11.9
Alabama,Limestone County,15.2
Alabama,Lowndes County,18.8
Alabama,Macon County,20.4
Alabama,Madison County,15.0
Alabama,Marengo County,19.6
Alabama,Marion County,21.2
Alabama,Marshall County,17.0
Alabama,Mobile County,16.2
Alabama,Monroe County,20.3
Alabama,Montgomery County,15.1
Alabama,Morgan County,17.5
Alabama,Perry County,19.4
Alabama,Pickens County,19.0
Alabama,Pike County,15.0
Alabama,Randolph County,20.4
Alabama,Russell County,14.3
Alabama,St. Clair County,16.6
Alabama,Shelby County,15.3
Alabama,Sumter County,18.0
Alabama,Talladega County,18.0
Alabama,Tallapoosa County,21.6
Alabama,Tuscaloosa County,13.3
Alabama,Walker County,19.3
Alabama,Washington County,19.1
Alabama,Wilcox County,19.4
Alabama,Winston County,21.6
Alaska,Aleutians East Borough,9.2
Alaska,Aleutians West Census Area,6.9
Alaska,Anchorage Municipality,11.1
Alaska,Bethel Census Area,7.7
Alaska,Bristol Bay Borough,14.5
Alaska,Denali Borough,11.9
Alaska,Dillingham Census Area,9.4
Alaska,Fairbanks North Star Borough,10.3
Alaska,Haines Borough,22.1
Alaska,Hoonah-Angoon Census Area,22.5
Alaska,Juneau City and Borough,13.4
Alaska,Kenai Peninsula Borough,17.4
Alaska,Ketchikan Gateway Borough,15.5
Alaska,Kodiak Island Borough,10.3
Alaska,Kusilvak Census Area,6.0
Alaska,Lake and Peninsula Borough,10.2
Alaska,Matanuska-Susitna Borough,11.9
Alaska,Nome Census Area,7.7
Alaska,North Slope Borough,6.8
Alaska,Northwest Arctic Borough,7.3
Alaska,Petersburg Borough,19.1
Alaska,Prince of Wales-Hyder Census Area,17.1
Alaska,Sitka City and Borough,15.7
Alaska,Skagway Municipality,14.5
Alaska,Southeast Fairbanks Census Area,14.5
Alaska,Valdez-Cordova Census Area,13.7
Alaska,Wrangell City and Borough,21.9
Alaska,Yakutat City and Borough,19.5
Alaska,Yukon-Koyukuk Census Area,15.2
Arizona,Apache County,15.3
Arizona,Cochise County,22.3
Arizona,Coconino County,12.5
Arizona,Gila County,28.8
Arizona,Graham County,13.9
Arizona,Greenlee County,13.2
Arizona,La Paz County,39.3
Arizona,Maricopa County,15.2
Arizona,Mohave County,30.3
Arizona,Navajo County,18.1
Arizona,Pima County,19.8
Arizona,Pinal County,20.4
Arizona,Santa Cruz County,18.1
Arizona,Yavapai County,31.6
Arizona,Yuma County,18.8
Arkansas,Arkansas County,19.6
Arkansas,Ashley County,20.4
Arkansas,Baxter County,30.9
Arkansas,Benton County,13.4
Arkansas,Boone County,20.7
Arkansas,Bradley County,19.0
Arkansas,Calhoun County,21.5
Arkansas,Carroll County,23.2
Arkansas,Chicot County,20.3
Arkansas,Clark County,16.7
Arkansas,Clay County,21.4
Arkansas,Cleburne County,26.8
Arkansas,Cleveland County,21.0
Arkansas,Columbia County,17.4
Arkansas,Conway County,19.6
Arkansas,Craighead County,13.8
Arkansas,Crawford County,16.6
Arkansas,Crittenden County,14.1
Arkansas,Cross County,18.8
Arkansas,Dallas County,23.2
Arkansas,Desha County,19.0
Arkansas,Drew County,17.5
Arkansas,Faulkner County,12.5
Arkansas,Franklin County,19.3
Arkansas,Fulton County,26.3
Arkansas,Garland County,23.8
Arkansas,Grant County,18.0
Arkansas,Greene County,16.0
Arkansas,Hempstead County,18.0
Arkansas,Hot Spring County,18.9
Arkansas,Howard County,17.9
Arkansas,Independence County,17.5
Arkansas,Izard County,25.8
Arkansas,Jackson County,18.1
Arkansas,Jefferson County,17.3
Arkansas,Johnson County,16.5
Arkansas,Lafayette County,24.0
Arkansas,Lawrence County,19.7
Arkansas,Lee County,19.6
Arkansas,Lincoln County,15.3
Arkansas,Little River County,21.0
Arkansas,Logan County,19.9
Arkansas,Lonoke County,13.3
Arkansas,Madison County,19.1
Arkansas,Marion County,28.5
Arkansas,Miller County,16.9
Arkansas,Mississippi County,14.8
Arkansas,Monroe County,23.2
Arkansas,Montgomery County,27.0
Arkansas,Nevada County,20.6
Arkansas,Newton County,26.5
Arkansas,Ouachita County,20.4
Arkansas,Perry County,20.2
Arkansas,Phillips County,19.0
Arkansas,Pike County,20.4
Arkansas,Poinsett County,17.9
Arkansas,Polk County,23.0
Arkansas,Pope County,15.8
Arkansas,Prairie County,23.8
Arkansas,Pulaski County,15.6
Arkansas,Randolph County,19.9
Arkansas,St. Francis County,16.2
Arkansas,Saline County,17.8
Arkansas,Scott County,20.9
Arkansas,Searcy County,25.0
Arkansas,Sebastian County,16.0
Arkansas,Sevier County,14.5
Arkansas,Sharp County,26.1
Arkansas,Stone County,27.4
Arkansas,Union County,17.9
Arkansas,Van Buren County,26.0
Arkansas,Washington County,11.7
Arkansas,White County,16.4
Arkansas,Woodruff County,23.1
Arkansas,Yell County,17.8
California,Alameda County,13.8
California,Alpine County,25.4
California,Amador County,27.0
California,Butte County,18.6
California,Calaveras County,27.5
California,Colusa County,14.6
California,Contra Costa County,15.8
California,Del Norte County,18.0
California,El Dorado County,21.2
California,Fresno County,12.3
California,Glenn County,15.9
California,Humboldt County,17.9
California,Imperial County,13.0
California,Inyo County,23.4
California,Kern County,11.0
California,Kings County,10.3
California,Lake County,22.7
California,Lassen County,15.2
California,Los Angeles County,13.6
California,Madera County,14.0
California,Marin County,22.3
