state,county,state_name,pop_density
AL,Autauga,Alabama,93.534505205
AL,Baldwin,Alabama,137.13854588
AL,Barbour,Alabama,28.114059594
AL,Bibb,Alabama,35.986168859
AL,Blount,Alabama,89.697955279
AL,Bullock,Alabama,16.277951234
AL,Butler,Alabama,25.333449178
AL,Calhoun,Alabama,188.61714004
AL,Chambers,Alabama,56.347975948
AL,Cherokee,Alabama,47.029485799
AL,Chilton,Alabama,63.726498241
AL,Choctaw,Alabama,14.057424215
AL,Clarke,Alabama,19.314926487
AL,Clay,Alabama,21.979894753
AL,Cleburne,Alabama,26.757506743
AL,Coffee,Alabama,76.45075182
AL,Colbert,Alabama,92.387121174
AL,Conecuh,Alabama,14.440131364
AL,Coosa,Alabama,16.461552335
AL,Covington,Alabama,35.889346469
AL,Crenshaw,Alabama,22.704543937
AL,Cullman,Alabama,113.56042387
AL,Dale,Alabama,87.249907296
AL,Dallas,Alabama,39.142243533
AL,DeKalb,Alabama,91.86091024
AL,Elmore,Alabama,132.40756612
AL,Escambia,Alabama,38.877615797
AL,Etowah,Alabama,191.48976814
AL,Fayette,Alabama,26.180382896
AL,Franklin,Alabama,49.474811238
AL,Geneva,Alabama,45.804859964
AL,Greene,Alabama,12.724429805
AL,Hale,Alabama,22.867078756
AL,Henry,Alabama,30.634605793
AL,Houston,Alabama,180.59586101
AL,Jackson,Alabama,47.99314624
AL,Jefferson,Alabama,593.22554444
AL,Lamar,Alabama,22.888459751
AL,Lauderdale,Alabama,138.30116642
AL,Lawrence,Alabama,47.716440562
AL,Lee,Alabama,269.83922055
AL,Limestone,Alabama,171.75295058
AL,Lowndes,Alabama,13.931895758
AL,Macon,Alabama,30.286086556
AL,Madison,Alabama,457.24378797
AL,Marengo,Alabama,19.516985844
AL,Marion,Alabama,40.093386582
AL,Marshall,Alabama,169.85038912
AL,Mobile,Alabama,336.56024397
AL,Monroe,Alabama,20.539770507
AL,Montgomery,Alabama,287.48618084
AL,Morgan,Alabama,205.54206837
AL,Perry,Alabama,12.700510989
AL,Pickens,Alabama,22.620053507
AL,Pike,Alabama,49.605114793
AL,Randolph,Alabama,39.143956864
AL,Russell,Alabama,90.12050714
AL,St. Clair,Alabama,140.420421
AL,Shelby,Alabama,274.65465157
AL,Sumter,Alabama,14.041416952
AL,Talladega,Alabama,108.34681527
AL,Tallapoosa,Alabama,56.518866946
AL,Tuscaloosa,Alabama,158.16297204
AL,Walker,Alabama,80.544660834
AL,Washington,Alabama,15.161923997
AL,Wilcox,Alabama,11.961279617
AL,Winston,Alabama,38.59836973
AK,Aleutians East Borough,Alaska,0.5032159254
AK,Aleutians West Census Area,Alaska,1.3030185169
AK,Anchorage Municipality,Alaska,170.84945945
AK,Bethel Census Area,Alaska,0.4483488712
AK,Bristol Bay Borough,Alaska,1.81957526
AK,Denali Borough,Alaska,0.162934745
AK,Dillingham Census Area,Alaska,0.2727565085
AK,Fairbanks North Star Borough,Alaska,13.503070244
AK,Haines Borough,Alaska,1.0574495864
AK,Hoonah-Angoon Census Area,Alaska,0.3280653871
AK,Juneau City and Borough,Alaska,11.876709455
AK,Kenai Peninsula Borough,Alaska,3.6529901494
AK,Ketchikan Gateway Borough,Alaska,2.865629577
AK,Kodiak Island Borough,Alaska,2.0172729248
AK,Kusilvak Census Area,Alaska,0.4862974641
AK,Lake and Peninsula Borough,Alaska,0.0664089117
AK,Matanuska-Susitna Borough,Alaska,4.3542490487
AK,Nome Census Area,Alaska,0.4356614048
AK,North Slope Borough,Alaska,0.1111406362
AK,Northwest Arctic Borough,Alaska,0.2151846209
AK,Petersburg Borough,Alaska,1.1104542004
AK,Prince of Wales-Hyder Census Area,Alaska,1.2202695576
AK,Sitka City and Borough,Alaska,3.0128759126
AK,Skagway Municipality,Alaska,2.6455700416
AK,Southeast Fairbanks Census Area,Alaska,0.278695684
AK,Valdez-Cordova Census Area,Alaska,0.2677816989
AK,Wrangell City and Borough,Alaska,0.9792662974
AK,Yakutat City and Borough,Alaska,0.0792310047
AK,Yukon-Koyukuk Census Area,Alaska,0.0365930984
AZ,Apache,Arizona,6.413768529
AZ,Cochise,Arizona,20.56427823
AZ,Coconino,Arizona,7.6726192992
AZ,Gila,Arizona,11.325986655
AZ,Graham,Arizona,8.2358796196
AZ,Greenlee,Arizona,5.1482697863
AZ,La Paz,Arizona,4.6888309769
AZ,Maricopa,Arizona,479.4764304
AZ,Mohave,Arizona,15.742539574
AZ,Navajo,Arizona,11.100123355
AZ,Pima,Arizona,113.09979314
AZ,Pinal,Arizona,83.330493702
AZ,Santa Cruz,Arizona,37.602208146
AZ,Yavapai,Arizona,28.558217746
AZ,Yuma,Arizona,38.470979394
AR,Arkansas,Arkansas,17.9709208
AR,Ashley,Arkansas,21.662999825
AR,Baxter,Arkansas,75.093934913
AR,Benton,Arkansas,321.63932955
AR,Boone,Arkansas,63.526433563
AR,Bradley,Arkansas,16.784333234
AR,Calhoun,Arkansas,8.3953150843
AR,Carroll,Arkansas,44.800928174
AR,Chicot,Arkansas,16.199614005
AR,Clark,Arkansas,25.472316857
AR,Clay,Arkansas,23.217736871
AR,Cleburne,Arkansas,45.084706902
AR,Cleveland,Arkansas,13.412871423
AR,Columbia,Arkansas,30.727792724
AR,Conway,Arkansas,37.828544349
AR,Craighead,Arkansas,153.48489237
AR,Crawford,Arkansas,107.25055074
AR,Crittenden,Arkansas,79.20594433
AR,Cross,Arkansas,27.05465413
AR,Dallas,Arkansas,10.761383639
AR,Desha,Arkansas,14.986939894
AR,Drew,Arkansas,22.125731613
AR,Faulkner,Arkansas,192.61993238
AR,Franklin,Arkansas,29.251865935
AR,Fulton,Arkansas,19.846564485
AR,Garland,Arkansas,146.30495102
AR,Grant,Arkansas,28.787064887
AR,Greene,Arkansas,78.459263269
AR,Hempstead,Arkansas,29.883712392
AR,Hot Spring,Arkansas,54.779866739
AR,Howard,Arkansas,22.666934514
AR,Independence,Arkansas,49.319726544
AR,Izard,Arkansas,23.41297489
